Raport Produse pe Stoc
========================
Produs: Croissant, Cantitate Disponibila: 100
Produs: Pâine Albă, Cantitate Disponibila: 149
Produs: Brioșă Vanilie, Cantitate Disponibila: 200
Produs: Eclair, Cantitate Disponibila: 75
Produs: Tartă, Cantitate Disponibila: 60
Produs: Cinnamon Roll, Cantitate Disponibila: 80
Produs: Tort Ciocolată, Cantitate Disponibila: 29
Produs: Pâine Integrală, Cantitate Disponibila: 119
Produs: Biscuiti, Cantitate Disponibila: 90
Produs: Tartă Ciocolată, Cantitate Disponibila: 40
Produs: Pâine Secară, Cantitate Disponibila: 110
Produs: Plăcintă Mere, Cantitate Disponibila: 49
Produs: Tort Fructe, Cantitate Disponibila: 24
Produs: Pâine Cereale, Cantitate Disponibila: 99
Produs: Biscuiti Ovăz, Cantitate Disponibila: 89
Produs: Crumble Mere, Cantitate Disponibila: 39
